iter	Passed	Remaining
0	70	70707
1	80	40336
2	90	30212
3	99	24769
4	110	21916
5	117	19462
6	128	18238
7	142	17619
8	160	17704
9	175	17368
10	185	16719
11	194	16039
12	203	15446
13	211	14929
14	219	14397
15	229	14089
16	237	13754
17	244	13355
18	252	13061
19	261	12837
20	269	12572
21	277	12317
22	285	12126
23	294	11966
24	302	11812
25	310	11640
26	320	11567
27	329	11421
28	337	11315
29	346	11202
30	356	11140
31	365	11054
32	377	11068
33	387	11014
34	395	10905
35	404	10837
36	413	10762
37	422	10700
38	429	10584
39	435	10457
40	444	10392
41	452	10322
42	460	10257
43	470	10222
44	479	10167
45	488	10135
46	496	10077
47	506	10041
48	512	9947
49	521	9907
50	530	9871
51	540	9852
52	548	9807
53	558	9792
54	572	9833
55	581	9800
56	591	9781
57	600	9760
58	610	9730
59	619	9710
60	628	9679
61	638	9653
62	646	9615
63	656	9599
64	665	9565
65	674	9548
66	683	9524
67	693	9505
68	703	9493
69	712	9466
70	722	9458
71	730	9411
72	739	9392
73	748	9366
74	756	9330
75	765	9307
76	774	9278
77	782	9248
78	790	9217
79	799	9198
80	808	9168
81	816	9142
82	824	9110
83	833	9086
84	841	9055
85	849	9028
86	857	8994
87	866	8975
88	874	8946
89	882	8928
90	891	8903
91	899	8880
92	907	8854
93	917	8842
94	925	8818
95	934	8797
96	943	8779
97	952	8762
98	959	8733
99	968	8714
100	976	8690
101	982	8650
102	990	8627
103	999	8606
104	1007	8586
105	1015	8568
106	1024	8547
107	1033	8534
108	1041	8512
109	1050	8498
110	1058	8478
111	1067	8464
112	1075	8443
113	1085	8439
114	1094	8423
115	1103	8406
116	1111	8389
117	1120	8373
118	1129	8358
119	1139	8355
120	1148	8340
121	1154	8310
122	1163	8297
123	1172	8282
124	1183	8282
125	1191	8262
126	1200	8253
127	1208	8233
128	1218	8224
129	1227	8213
130	1236	8205
131	1246	8194
132	1255	8181
133	1264	8172
134	1273	8159
135	1283	8151
136	1291	8135
137	1301	8126
138	1310	8116
139	1318	8097
140	1328	8093
141	1336	8073
142	1346	8072
143	1356	8062
144	1365	8049
145	1373	8032
146	1381	8018
147	1390	8003
148	1398	7988
149	1407	7974
150	1415	7959
151	1425	7950
152	1433	7937
153	1442	7926
154	1450	7908
155	1459	7898
156	1468	7883
157	1477	7872
158	1485	7857
159	1494	7845
160	1502	7832
161	1512	7822
162	1520	7809
163	1529	7797
164	1537	7782
165	1546	7770
166	1555	7757
167	1563	7743
168	1572	7730
169	1581	7721
170	1590	7712
171	1599	7700
172	1608	7690
173	1617	7679
174	1627	7670
175	1635	7656
176	1645	7648
177	1653	7634
178	1662	7626
179	1671	7615
180	1681	7608
181	1690	7597
182	1699	7588
183	1709	7579
184	1717	7568
185	1727	7560
186	1736	7549
187	1745	7540
188	1754	7530
189	1763	7516
190	1772	7506
191	1781	7496
192	1790	7485
193	1798	7471
194	1807	7460
195	1815	7447
196	1824	7436
197	1832	7424
198	1842	7415
199	1850	7401
200	1859	7391
201	1867	7379
202	1876	7369
203	1886	7359
204	1894	7346
205	1902	7333
206	1910	7320
207	1919	7309
208	1927	7295
209	1937	7289
210	1946	7277
211	1954	7266
212	1963	7254
213	1972	7244
214	1980	7230
215	1989	7220
216	1997	7206
217	2006	7197
218	2014	7184
219	2023	7174
220	2031	7160
221	2040	7151
222	2048	7138
223	2057	7128
224	2066	7116
225	2074	7105
226	2083	7094
227	2091	7083
228	2100	7071
229	2108	7059
230	2117	7048
231	2126	7040
232	2135	7030
233	2143	7017
234	2152	7007
235	2161	6996
236	2170	6988
237	2178	6975
238	2187	6965
239	2195	6953
240	2205	6944
241	2213	6932
242	2222	6922
243	2230	6910
244	2239	6901
245	2248	6891
